Id	Count	File(s)
4L1	242	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L1_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L1_R2.fastq
4L9	2402	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L9_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L9_R2.fastq
4L17	3	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L17_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L17_R2.fastq
4L25	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L25_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L25_R2.fastq
4L33	2	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L33_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L33_R2.fastq
4L41	9163	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L41_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L41_R2.fastq
4L49	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L49_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L49_R2.fastq
8L5	4576	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L5_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L5_R2.fastq
8L13	0	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L13_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/8L13_R2.fastq
4SP3	1	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP3_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP3_R2.fastq
4SP11	2464	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP11_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP11_R2.fastq
4SP19	3710	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP19_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4SP19_R2.fastq
4L2	7	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L2_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L2_R2.fastq
4L10	4940	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L10_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L10_R2.fastq
4L18	11190	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L18_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L18_R2.fastq
4L26	9777	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L26_R1.fastq	/Users/brow015/Downloads/data/151016_M03018_0032_000000000-AGKY8/4L26_R2.fastq
